user_input,intent
What is Machine Learning?,AI_ML
Can you explain neural networks to a beginner?,AI_ML
What is the difference between supervised and unsupervised learning?,AI_ML
How do computers learn from data?,AI_ML
What does deep learning mean?,AI_ML
What is a model in artificial intelligence?,AI_ML
How do self-driving cars use AI?,AI_ML
What is reinforcement learning with an example?,AI_ML
Why is Python preferred for artificial intelligence?,AI_ML
What is the full form of NLP in AI?,AI_ML
Can you give an example of computer vision?,AI_ML
What is a training dataset?,AI_ML
How does ChatGPT generate text?,AI_ML
What is a popular algorithm for classification?,AI_ML
What are weights and biases in ML?,AI_ML
What does over-fitting mean in machine learning?,AI_ML
What is an activation function?,AI_ML
How do recommendation systems work on Netflix?,AI_ML
What is the purpose of a loss function?,AI_ML
What is generative AI?,AI_ML
What is the difference between AI and ML?,AI_ML
How does image recognition work?,AI_ML
What is a decision tree in machine learning?,AI_ML
What is transfer learning?,AI_ML
Why do we need a test dataset?,AI_ML
What is the role of an epoch in training?,AI_ML
What is a convolutional neural network?,AI_ML
How do voice assistants understand us?,AI_ML
What is feature engineering?,AI_ML
What does a linear regression model do?,AI_ML
What is the Turing test?,AI_ML
What is clustering in machine learning?,AI_ML
How do LLMs work?,AI_ML
What is a confusion matrix used for?,AI_ML
What is backpropagation?,AI_ML
What is gradient descent?,AI_ML
What are hyperparameters?,AI_ML
Can AI think like humans?,AI_ML
What is an example of a regression problem?,AI_ML
How do spam filters use machine learning?,AI_ML
What is natural language processing?,AI_ML
What is a random forest model?,AI_ML
Why is data preprocessing important in ML?,AI_ML
What is the bias-variance tradeoff?,AI_ML
What are tokens in large language models?,AI_ML
What is computer vision used for in daily life?,AI_ML
What does fine-tuning a model mean?,AI_ML
What is artificial general intelligence?,AI_ML
How do we measure the accuracy of an ML model?,AI_ML
What is an underfitted model?,AI_ML
What is a variable in programming?,Programming
How do I write a comment in Python?,Programming
What is the difference between a list and a tuple?,Programming
How do you declare a function in JavaScript?,Programming
What does an if-else statement do?,Programming
What is a loop in coding?,Programming
What is the difference between let and const?,Programming
How do I print text to the console in Java?,Programming
What is an array index?,Programming
What does HTML stand for?,Programming
How do I create a class in C++?,Programming
What is the purpose of a return statement?,Programming
What is an API?,Programming
How do I fix a syntax error?,Programming
What is a string in programming?,Programming
What is the difference between public and private variables?,Programming
How does a while loop work?,Programming
What is an object in object-oriented programming?,Programming
How do you merge code in Git?,Programming
What is a dictionary in Python?,Programming
Why do we use CSS?,Programming
What is the purpose of a framework like React?,Programming
How do I convert a string to an integer?,Programming
What does debugging mean?,Programming
What is a boolean data type?,Programming
How do you pass arguments to a function?,Programming
What is the difference between == and ===?,Programming
How do I open a file in Python?,Programming
What is a database query?,Programming
What does the term open-source mean?,Programming
How do I install a package using pip?,Programming
What is an exception in coding?,Programming
What is a global variable?,Programming
How do you write a for loop?,Programming
What is a memory leak?,Programming
What is the main function in C?,Programming
How do I concatenate two strings?,Programming
What is the difference between frontend and backend?,Programming
What is a compiler?,Programming
How do I create a JSON object?,Programming
What is recursion in programming?,Programming
What does an absolute path mean?,Programming
How do I comment out multiple lines?,Programming
What is a null pointer exception?,Programming
What is SQL used for?,Programming
How do you define an interface?,Programming
What is code indentation?,Programming
What is a constructor in OOP?,Programming
How do I check the length of an array?,Programming
What is the difference between local and global scope?,Programming
What is Data Science in simple terms?,Data_Science
What does a data scientist do?,Data_Science
What is the difference between data science and data analytics?,Data_Science
What is a dataframe?,Data_Science
How do you handle missing data in a dataset?,Data_Science
What is exploratory data analysis?,Data_Science
Why do we use Pandas in Python?,Data_Science
What is a histogram used for?,Data_Science
What is the difference between mean and median?,Data_Science
What is data cleaning?,Data_Science
How do you find outliers in data?,Data_Science
What is a scatter plot?,Data_Science
What is the purpose of data visualization?,Data_Science
What is standard deviation?,Data_Science
How do you use SQL for data analysis?,Data_Science
What is a correlation coefficient?,Data_Science
What is the difference between structured and unstructured data?,Data_Science
Why do we normalize data?,Data_Science
What is Tableau used for?,Data_Science
What is a feature in a dataset?,Data_Science
How do you read a CSV file in Python?,Data_Science
What is the purpose of a box plot?,Data_Science
What is a population versus a sample?,Data_Science
What is time series analysis?,Data_Science
What is Power BI?,Data_Science
How do you group data in SQL?,Data_Science
What is NumPy used for?,Data_Science
What is a normal distribution?,Data_Science
What is A/B testing?,Data_Science
How do you handle categorical data?,Data_Science
What is data scraping?,Data_Science
What is the difference between qualitative and quantitative data?,Data_Science
What is a bar chart?,Data_Science
What is predictive analytics?,Data_Science
Why is domain knowledge important in data science?,Data_Science
What is data aggregation?,Data_Science
What is a pivot table?,Data_Science
What is the definition of big data?,Data_Science
What is a correlation matrix?,Data_Science
How do you merge two dataframes?,Data_Science
What is the interquartile range?,Data_Science
What does variance mean in statistics?,Data_Science
What is a data pipeline?,Data_Science
What is the purpose of Matplotlib?,Data_Science
How do you sample data randomly?,Data_Science
What is a heatmap?,Data_Science
What is data engineering?,Data_Science
What is metadata?,Data_Science
Why do we use Seaborn?,Data_Science
What is a percentile?,Data_Science
What is cloud computing?,Technology
How does the internet work?,Technology
What is an operating system?,Technology
What is the difference between RAM and ROM?,Technology
What does 5G mean?,Technology
What is cybersecurity?,Technology
How does a router work?,Technology
What is an IP address?,Technology
What is the purpose of a firewall?,Technology
What is blockchain technology?,Technology
What is cryptocurrency?,Technology
How does a hard drive store data?,Technology
What is the Internet of Things?,Technology
What is a server?,Technology
What is the difference between HTTP and HTTPS?,Technology
What does CPU stand for?,Technology
What is malware?,Technology
How does phishing work?,Technology
What is a VPN used for?,Technology
What is open-source software?,Technology
What is cache memory?,Technology
How does Bluetooth connect devices?,Technology
What is a domain name?,Technology
What is the role of a motherboard?,Technology
What is two-factor authentication?,Technology
What is virtual reality?,Technology
What is augmented reality?,Technology
What is SaaS?,Technology
How does a solid-state drive differ from a hard drive?,Technology
What is information technology?,Technology
What is a computer network?,Technology
How does encryption protect data?,Technology
What is quantum computing?,Technology
What is a database management system?,Technology
What does BIOS stand for?,Technology
What is a URL?,Technology
How do smart devices communicate?,Technology
What is the Linux operating system?,Technology
What is a cookie on a website?,Technology
What is network bandwidth?,Technology
What is a data center?,Technology
How does Wi-Fi work?,Technology
What is social engineering in cyber security?,Technology
What is digital transformation?,Technology
What is a software patch?,Technology
What is the purpose of a graphics card?,Technology
What is metadata in technology?,Technology
What is a proxy server?,Technology
What does UI and UX design mean?,Technology
What is edge computing?,Technology
How do I choose the right career path?,Career_Guidance
What skills are needed to become a software engineer?,Career_Guidance
Is a computer science degree necessary for coding?,Career_Guidance
What does a product manager do?,Career_Guidance
How can I switch my career to data science?,Career_Guidance
What is the average salary of an ML engineer?,Career_Guidance
Should I learn Python or Java first?,Career_Guidance
What jobs can I get with a math degree?,Career_Guidance
How do I build a portfolio as a beginner?,Career_Guidance
What are the highest paying jobs in tech?,Career_Guidance
